t_binance_ms,t_received_ns,t_sent_ns
1777485025179,1777485024892077720,1777485024899547733
1777485025738,1777485025445290718,1777485025445464350
1777485025738,1777485025445900550,1777485025446026757
1777485025738,1777485025446618151,1777485025446814559
1777485025738,1777485025447246618,1777485025447407432
1777485025738,1777485025447984628,1777485025448963219
1777485025738,1777485025449391728,1777485025449625407
1777485025738,1777485025450451071,1777485025450598081
1777485025738,1777485025450925133,1777485025451015449
1777485025738,1777485025451316273,1777485025451386476
1777485025738,1777485025452068778,1777485025452193406
1777485025738,1777485025452567489,1777485025452660960
1777485025738,1777485025453024198,1777485025453115204
1777485025738,1777485025454171589,1777485025454270089
1777485025738,1777485025454633622,1777485025454722459
1777485025738,1777485025455489950,1777485025455592789
1777485025738,1777485025455906924,1777485025456013410
1777485025738,1777485025456223030,1777485025456309304
1777485025738,1777485025456557970,1777485025456620284
1777485025738,1777485025457413509,1777485025457518615
1777485025738,1777485025457744603,1777485025457797156
1777485025739,1777485025458444555,1777485025458545914
1777485025739,1777485025458820708,1777485025458910630
1777485025739,1777485025459196270,1777485025459257007
1777485025739,1777485025459802552,1777485025459899475
1777485025739,1777485025460150112,1777485025460254627
1777485025739,1777485025460497278,1777485025460549437
1777485025739,1777485025460795933,1777485025460844542
1777485025739,1777485025461077826,1777485025461125745
1777485025739,1777485025461338126,1777485025461391567
1777485025739,1777485025461611146,1777485025461658276
1777485025739,1777485025461878151,1777485025461996370
1777485025739,1777485025462190807,1777485025462242965
1777485025739,1777485025462471418,1777485025462563312
1777485025739,1777485025462793047,1777485025462839881
1777485025739,1777485025463059460,1777485025463103435
1777485025740,1777485025463522972,1777485025463569510
1777485025740,1777485025463806147,1777485025463850516
1777485025740,1777485025464000287,1777485025464053531
1777485025740,1777485025464198963,1777485025464248066
1777485025741,1777485025464408584,1777485025464456700
1777485025741,1777485025464644136,1777485025464693337
1777485025741,1777485025464882744,1777485025464931058
1777485025741,1777485025465156553,1777485025465211768
1777485025885,1777485025587831693,1777485025587972196
1777485025982,1777485025683305957,1777485025683452868
