t_binance_ms,t_received_ns,t_sent_ns
1777485628457,1777485628150488670,1777485628267073130
1777485628457,1777485628267976160,1777485628268210593
1777485628457,1777485628269071133,1777485628269219502
1777485628457,1777485628269283681,1777485628269366196
1777485628457,1777485628269416966,1777485628269556167
1777485628457,1777485628269601713,1777485628269674764
1777485628566,1777485628270993819,1777485628271190100
1777485628566,1777485628271863626,1777485628272046302
1777485628566,1777485628272247808,1777485628272648750
1777485628566,1777485628272710069,1777485628272848481
1777485628566,1777485628273055606,1777485628273138910
1777485628566,1777485628274004478,1777485628274370718
1777485628571,1777485628274588194,1777485628274740802
1777485628688,1777485628376965986,1777485628377145507
1777485628737,1777485628426285136,1777485628426545102
1777485628737,1777485628427051134,1777485628427236275
1777485628737,1777485628427318889,1777485628427403079
1777485628737,1777485628427452963,1777485628427545139
1777485628737,1777485628427605768,1777485628427682960
1777485628737,1777485628428488884,1777485628428631043
1777485628737,1777485628428728444,1777485628428817169
1777485628737,1777485628428877799,1777485628428961694
1777485628737,1777485628429011577,1777485628429104739
1777485628815,1777485628502436506,1777485628502637322
1777485628815,1777485628502767847,1777485628503421164
1777485628815,1777485628503458330,1777485628503559083
1777485628815,1777485628503605911,1777485628503700256
1777485628893,1777485628578012442,1777485628578177176
1777485629070,1777485628753885256,1777485628754023766
1777485629070,1777485628754490562,1777485628754705179
1777485629070,1777485628754753091,1777485628754843986
1777485629179,1777485628867883843,1777485628868041479
1777485629254,1777485628934348834,1777485628934488035
1777485629466,1777485629145600886,1777485629145739858
1777485629466,1777485629145773566,1777485629145830437
1777485629466,1777485629145863258,1777485629145904851
1777485629466,1777485629145935701,1777485629145987348
1777485629466,1777485629146017803,1777485629146057425
1777485629466,1777485629146097146,1777485629146146525
1777485629466,1777485629146176390,1777485629146214730
1777485629466,1777485629146244200,1777485629146282344
1777485629710,1777485629383547425,1777485629383760320
1777485629780,1777485629453451606,1777485629453668639
1777485629808,1777485629481364884,1777485629481578961
1777485629866,1777485629538350826,1777485629538514143
1777485630004,1777485629676108306,1777485629676241069
1777485630004,1777485629676325931,1777485629676400543
1777485630004,1777485629676442826,1777485629677307906
1777485630004,1777485629677350583,1777485629677456439
